year,geo_name,geo,hiv_prevalence_rate
2016,"Nemaha County","05000US20131",None
2017,"Nemaha County","05000US20131",None
2015,"Morton County","05000US20129",None
2017,"Morton County","05000US20129",None
2016,"Morton County","05000US20129",None
2016,"Morris County","05000US20127",None
2015,"Morris County","05000US20127",None
2015,"Lake and Peninsula Borough","05000US02164",None
2016,"Kodiak Island Borough","05000US02150",None
2017,"Kodiak Island Borough","05000US02150",None
2015,"Kodiak Island Borough","05000US02150",None
2017,"Morris County","05000US20127",None
2017,"Buena Vista city","05000US51530",None
2016,"Buena Vista city","05000US51530",None
2015,"Buena Vista city","05000US51530",None
2016,"Mitchell County","05000US20123",None
2015,"Mitchell County","05000US20123",None
2017,"Mitchell County","05000US20123",None
2015,"Haines Borough","05000US02100",None
2017,"Haines Borough","05000US02100",None
2016,"Haines Borough","05000US02100",None
2015,"Denali Borough","05000US02068",None
2017,"Denali Borough","05000US02068",None
2016,"Denali Borough","05000US02068",None
